IAPP,NOTCH2
CCL17,COL13A1
SLURP1,COL13A1
DEFB1,COL13A1
DEFB103A,COL13A1
CCL26,COL13A1
CCK,COL13A1
APOC1,COL13A1
CCL26,SDC2
CXCL12,SDC2
FSHB,SDC2
PTMA,SDC2
CCL26,ASGR1
CXCL12,C5AR2
CCL17,TNFRSF11B
IAPP,TNFRSF11B
PI3,TNFRSF11B
SLURP1,TNFRSF11B
TSHB,TNFRSF11B
CCL19,TNFRSF11B
CCL20,TNFRSF11B
GHRH,TNFRSF11B
CCL26,TNFRSF11B
CXCL12,TNFRSF11B
FSHB,TNFRSF11B
S100A10,TNFRSF11B
SCGB1A1,TNFRSF11B
PTMA,TNFRSF11B
CCL17,CD53
RETN,CD53
PI3,CD53
SLURP1,CD53
NPFF,CD53
DEFB4A,CD53
CCL19,CD53
CCL20,CD53
CCL26,CD53
CXCL12,CD53
FSHB,CD53
CCK,CD53
PTMA,CD53
CD59,CD53
CCL19,KLRF1
HMGB1,KLRF1
GHRH,KLRF1
S100A4,KLRF1
B2M,KLRF1
PTMA,KLRF1
CCL17,SELL
PI3,SELL
SLURP1,SELL
CXCL13,SELL
HMGB1,SELL
CCL20,SELL
CCL26,SELL
CXCL12,SELL
FSHB,SELL
S100A4,SELL
APOC1,SELL
CCL17,IL10RB
PI3,IL10RB
SLURP1,IL10RB
CXCL13,IL10RB
S100A1,IL10RB
PF4,IL10RB
DEFB1,IL10RB
CXCL11,IL10RB
CCL19,IL10RB
CCL20,IL10RB
GHRH,IL10RB
CCL26,IL10RB
CXCL12,IL10RB
FSHB,IL10RB
S100A10,IL10RB
SCGB1A1,IL10RB
CCL18,IL10RB
LGALS1,KLRK1
CCL17,KLRK1
LHB,KLRK1
CCL2,KLRK1
CXCL6,KLRK1
APOC3,KLRK1
SLURP1,KLRK1
TSHB,KLRK1
GAL,KLRK1
NPFF,KLRK1
UCN2,KLRK1
GPHA2,KLRK1
PTH,KLRK1
CXCL13,KLRK1
SST,KLRK1
TFF1,KLRK1
HCRT,KLRK1
CXCL5,KLRK1
PF4,KLRK1
FABP5,KLRK1
CXCL11,KLRK1
CCL19,KLRK1
TAC1,KLRK1
GAST,KLRK1
CALCA,KLRK1
GHRL,KLRK1
CXCL14,KLRK1
CCL20,KLRK1
PYY,KLRK1
CXCL9,KLRK1
EDN2,KLRK1
GHRH,KLRK1
CCL8,KLRK1
CCL26,KLRK1
CXCL12,KLRK1
RLN3,KLRK1
FSHB,KLRK1
CGA,KLRK1
S100A10,KLRK1
S100A4,KLRK1
ASIP,KLRK1
B2M,KLRK1
GUCA2A,KLRK1
INS,KLRK1
SCGB1A1,KLRK1
NPPA,KLRK1
ANG,KLRK1
CXCL2,KLRK1
PPY,KLRK1
CCK,KLRK1
CCL23,KLRK1
CCL18,KLRK1
TSLP,KLRK1
PTMA,KLRK1
CD59,KLRK1
APOC1,KLRK1
QRFP,KLRK1
IAPP,CD9
SLURP1,CD9
PTH,CD9
PF4,CD9
CCL20,CD9
GHRH,CD9
CCL8,CD9
CCL26,CD9
CXCL12,CD9
MDK,CD9
FSHB,CD9
CCL20,F3
CCL26,F3
CXCL12,F3
NPFF,RAMP1
NPFF,BAMBI
DEFB1,BAMBI
CXCL11,BAMBI
CCL20,BAMBI
CCL26,BAMBI
CXCL12,BAMBI
S100A10,BAMBI
INS,BAMBI
SCGB1A1,BAMBI
PTMA,BAMBI
CXCL12,TNFRSF9
PTMA,TNFRSF9
CCL26,TNFRSF13B
LGALS1,IL36RN
RETN,IL36RN
CXCL6,IL36RN
PI3,IL36RN
SLURP1,IL36RN
NPFF,IL36RN
PTH,IL36RN
SST,IL36RN
TFF1,IL36RN
HCRT,IL36RN
CXCL5,IL36RN
CAMP,IL36RN
DEFB4A,IL36RN
CXCL11,IL36RN
CCL19,IL36RN
DEFB103A,IL36RN
TAC1,IL36RN
HMGB1,IL36RN
CCL20,IL36RN
PYY,IL36RN
CCL28,IL36RN
S100A8,IL36RN
EDN2,IL36RN
GHRH,IL36RN
CCL8,IL36RN
CXCL12,IL36RN
MDK,IL36RN
FSHB,IL36RN
CGA,IL36RN
S100A10,IL36RN
GNRH2,IL36RN
ASIP,IL36RN
GALP,IL36RN
GUCA2B,IL36RN
NMB,IL36RN
B2M,IL36RN
GUCA2A,IL36RN
PPY,IL36RN
CCK,IL36RN
PTMA,IL36RN
CD59,IL36RN
APOC1,IL36RN
PTH,CD151
CCL26,CD151
CXCL12,CD151
CCL26,TSPAN14
CXCL12,TSPAN14
CCL26,F11R
CXCL12,F11R
NPFF,IL18BP
UCN2,IL18BP
TFF1,IL18BP
S100A1,IL18BP
DEFB103A,IL18BP
GHRH,IL18BP
S100A10,IL18BP
GUCA2A,IL18BP
PTMA,IL18BP
APOC1,IL18BP
CCL19,RPSA
CCL20,RPSA
CCL26,RPSA
CXCL12,RPSA
APOC1,RPSA
CCL26,MARCO
RETN,TNFRSF12A
SLURP1,TNFRSF12A
DEFB1,TNFRSF12A
CCL19,TNFRSF12A
TAC1,TNFRSF12A
HMGB1,TNFRSF12A
CCL20,TNFRSF12A
CXCL9,TNFRSF12A
GHRH,TNFRSF12A
CXCL12,TNFRSF12A
FSHB,TNFRSF12A
S100A10,TNFRSF12A
INS,TNFRSF12A
PPY,TNFRSF12A
CCK,TNFRSF12A
PTMA,TNFRSF12A
APOC1,TNFRSF12A
CCL20,EZR
CXCL12,EZR
CCL20,MSN
CXCL12,MSN
CCL17,GPIHBP1
IL2,GPIHBP1
IAPP,GPIHBP1
PI3,GPIHBP1
SLURP1,GPIHBP1
UCN2,GPIHBP1
GPHA2,GPIHBP1
TFF1,GPIHBP1
DEFB1,GPIHBP1
CXCL11,GPIHBP1
CCL19,GPIHBP1
DEFB103A,GPIHBP1
TAC1,GPIHBP1
CXCL14,GPIHBP1
HMGB1,GPIHBP1
CCL20,GPIHBP1
CCL28,GPIHBP1
GHRH,GPIHBP1
NDP,GPIHBP1
CCL26,GPIHBP1
CXCL12,GPIHBP1
FSHB,GPIHBP1
S100A4,GPIHBP1
B2M,GPIHBP1
SCGB1A1,GPIHBP1
PPY,GPIHBP1
APOC1,GPIHBP1
CXCL12,FAS
SLURP1,CD28
CXCL12,CD28
FSHB,CD28
SCGB1A1,CD28
PTMA,CD28
DEFB1,PLSCR4
CXCL11,PLSCR4
CCL20,PLSCR4
CCL26,PLSCR4
CXCL12,PLSCR4
CXCL13,CD247
CCL28,CD247
CXCL12,CD247
S100A10,CD247
PPY,CD247
PTMA,CD247
RETN,TMED5
TSHB,TMED5
CXCL11,TMED5
CCL20,TMED5
CCL26,TMED5
CXCL12,TMED5
S100A10,TMED5
CCL18,TMED5
CCL17,CD40
SLURP1,CD40
CCL19,CD40
TAC1,CD40
CCL20,CD40
GHRH,CD40
CXCL12,CD40
FSHB,CD40
S100A10,CD40
CCL19,EDA2R
CCL28,EDA2R
CCL26,EDA2R
CXCL12,EDA2R
PTMA,LAT
UTS2,CD3G
OXT,CD3G
RETN,CD3G
CCL2,CD3G
CXCL6,CD3G
IL2,CD3G
APOC3,CD3G
CLEC2B,CD3G
IFNG,CD3G
IAPP,CD3G
PI3,CD3G
SLURP1,CD3G
TSHB,CD3G
NPFF,CD3G
UCN2,CD3G
PTH,CD3G
CXCL13,CD3G
SST,CD3G
TFF2,CD3G
TFF1,CD3G
